id,cluster
3020200047193-api_xml-0-IMG-0,3
3020170027160-api_xml-2-IMG-2,46
3020220025192-api_xml-2-IMG-2,9
3020230007491-api_xml-1-IMG-1,9
3020190060063-api_xml-1-IMG-1,27
3020240008454-api_xml-2-IMG-2,25
3020110025409-api_xml-2-IMG-2,23
3020230024244-api_xml-0-IMG-0,40
3020240050702-api_xml-1-IMG-1,38
3020200040153-api_xml-2-IMG-2,10
3020210043479-api_xml-2-IMG-2,43
3020160000904-api_xml-0-IMG-0,14
3020170050635-api_xml-2-IMG-2,47
3020170010333-api_xml-1-IMG-1,32
3020170013283-api_xml-0-IMG-0,34
3020130028389-api_xml-1-IMG-1,8
3020190039993-api_xml-1-IMG-1,15
3020170057937-api_xml-2-IMG-2,10
3020230017845-api_xml-2-IMG-2,13
3020210036305-api_xml-0-IMG-0,49
3020130056921-api_xml-1-IMG-1,33
3020180014229-api_xml-1-IMG-1,1
3020150024653-api_xml-2-IMG-2,18
3020240010048-api_xml-1-IMG-1,22
3020180059619-api_xml-0-IMG-0,24
3020220004517-api_xml-2-IMG-2,22
3020220047710-api_xml-1-IMG-1,44
3020200022780-api_xml-0-IMG-0,29
3020190005368-api_xml-2-IMG-2,9
3020160019422-api_xml-2-IMG-2,32
3020200012216-api_xml-0-IMG-0,40
3020150061966-api_xml-0-IMG-0,28
3020170013859-api_xml-1-IMG-1,39
3020170003021-api_xml-1-IMG-1,25
3020240026252-api_xml-0-IMG-0,34
3020190040036-api_xml-0-IMG-0,28
3020170024135-api_xml-2-IMG-2,20
3020160034244-api_xml-0-IMG-0,37
3020170024873-api_xml-1-IMG-1,1
3020180011310-api_xml-0-IMG-0,49
3020160009185-api_xml-2-IMG-2,8
3020190052358-api_xml-2-IMG-2,22
3020250008336-api_xml-0-IMG-0,34
3020230030881-api_xml-0-IMG-0,8
3020230037156-api_xml-0-IMG-0,20
3020160028779-api_xml-1-IMG-1,20
3020130047807-api_xml-1-IMG-1,16
3020170050781-api_xml-2-IMG-2,47
3020150031081-api_xml-0-IMG-0,21
3020170021390-api_xml-1-IMG-1,20
3020120057230-api_xml-0-IMG-0,48
3020160008698-api_xml-0-IMG-0,29
3020140052799-api_xml-2-IMG-2,1
3020180038282-api_xml-0-IMG-0,14
3020100056766-api_xml-1-IMG-1,34
3020230026711-api_xml-0-IMG-0,8
3020200022650-api_xml-1-IMG-1,0
3020150062111-api_xml-0-IMG-0,49
3020140031067-api_xml-1-IMG-1,0
3020250020883-api_xml-1-IMG-1,14
3020150014320-api_xml-1-IMG-1,20
3020150059774-api_xml-1-IMG-1,36
3020190027270-api_xml-2-IMG-2,23
3020230011347-api_xml-0-IMG-0,14
3020210020939-api_xml-1-IMG-1,19
3020250009682-api_xml-2-IMG-2,38
3020110056131-api_xml-1-IMG-1,48
3020230043763-api_xml-2-IMG-2,7
3020210021895-api_xml-2-IMG-2,38
